src,dst,time,risk,distance,congestion,smoke_level
0,24,2,7,10,2,10
0,7,3,7,2,8,1
1,16,3,6,10,10,5
1,5,8,2,9,7,7
2,20,4,8,8,5,2
2,12,4,4,2,8,5
3,18,1,6,4,10,7
3,5,6,5,5,1,1
4,12,3,9,2,4,6
4,24,10,5,7,5,6
5,23,10,8,7,2,1
5,6,6,5,2,6,9
6,23,4,9,5,7,10
6,22,7,3,2,5,3
7,5,6,7,3,1,8
7,19,6,5,9,5,8
8,12,5,9,1,10,6
8,9,3,1,10,4,8
9,1,2,5,4,10,7
9,19,7,10,5,5,3
10,15,9,4,1,7,3
10,11,1,5,4,5,8
11,4,7,3,9,2,1
11,15,7,2,7,7,4
12,9,7,8,9,2,2
12,11,10,5,10,6,10
13,14,7,6,6,6,2
13,3,9,5,3,5,3
14,9,9,2,8,7,5
14,8,1,9,4,1,7
15,14,8,2,10,10,10
15,4,7,5,4,3,2
16,0,8,7,5,6,1
16,11,3,4,6,8,2
17,1,7,8,1,10,9
17,16,5,9,8,2,7
18,6,3,7,5,2,8
18,0,2,9,10,4,1
19,7,8,4,5,3,3
19,10,8,7,10,9,3
20,7,7,10,10,7,10
20,16,1,9,5,4,4
21,14,6,1,6,5,1
21,1,9,5,9,7,1
22,12,8,9,9,9,1
22,1,7,4,6,7,3
23,15,8,4,4,10,9
23,21,6,7,3,5,5
24,20,1,4,5,2,10
24,18,1,8,3,1,2
